# root          Ritz Values (Real)          Ritz Values (Imag)          Residuals
   
     1             0.2211337471E-011             0.3208754507E-012             0.3024849460E-012
     2             0.1000000000E+001            -0.7088513804E-015             0.2704255496E-012
     3             0.1000000000E+001             0.8049116929E-015             0.6558563782E-012
     4             0.1791089054E+001            -0.2051560859E-012             0.3459254607E-012
     5             0.1791089054E+001            -0.6136306388E-013             0.1700074032E-011
     6             0.1791089054E+001            -0.1281544315E-012             0.3156482302E-012
     7             0.2686633581E+001            -0.4093917663E-015             0.2643299699E-011
     8             0.2686633581E+001             0.8506921296E-015             0.4399627426E-011
     9             0.2686633581E+001             0.8197686507E-015             0.3432686244E-011
    10             0.2686633581E+001             0.1458456159E-014             0.4253722806E-011
    11             0.3582178109E+001             0.4580668098E-013             0.1159175117E-010
    12             0.3582178109E+001             0.1325132720E-012             0.2830203212E-010
    13             0.3582178109E+001             0.1316507926E-012             0.6292371412E-011
    14             0.3582178109E+001             0.4789621178E-013             0.1347431634E-011
    15             0.3582178110E+001            -0.8926041330E-013             0.4143759813E-012
    16             0.4477722637E+001            -0.1217911405E-014             0.3170201677E-009
