  #time[fs]  state    s-pop           Ecorr           Etot
      0.000   1     1.000000000    26.773811818    64.492679830
      0.005   1     1.000000000    26.772944280    68.156279926
      0.010   1     1.000000000    26.766709218    71.819747142
      0.015   1     1.000000000    26.749171774    75.482742940
      0.020   1     1.000000000    26.714016763    79.144712675
      0.025   1     1.000000000    26.655240753    82.804899097
      0.030   1     1.000000000    26.567686456    86.462359941
      0.035   1     1.000000000    26.447227939    90.115988810
      0.040   1     1.000000000    26.290821268    93.764538543
      0.045   1     1.000000000    26.096563259    97.406646197
      0.050   1     1.000000000    25.863704129   101.040858853
      0.055   1     1.000000000    25.592553107   104.665659480
      0.060   1     1.000000000    25.284327698   108.279492175
      0.065   1     1.000000000    24.941023827   111.880786212
      0.070   1     1.000000000    24.565304188   115.467978392
      0.075   1     1.000000000    24.160355177   119.039533355
      0.080   1     1.000000000    23.729708210   122.593961615
      0.085   1     1.000000000    23.277077078   126.129835189
      0.090   1     1.000000000    22.806255853   129.645800763
      0.095   1     1.000000000    22.321070095   133.140590445
      0.100   1     1.000000000    21.825334419   136.613030202
      0.105   1     1.000000000    21.322776432   140.062046153
      0.110   1     1.000000000    20.816930269   143.486668920
      0.115   1     1.000000000    20.311039545   146.886036243
      0.120   1     1.000000000    19.808007737   150.259394050
      0.125   1     1.000000000    19.310403162   153.606096175
      0.130   1     1.000000000    18.820497700   156.925602881
      0.135   1     1.000000000    18.340311041   160.217478336
      0.140   1     1.000000000    17.871641801   163.481387209
      0.145   1     1.000000000    17.416081379   166.717090475
      0.150   1     1.000000000    16.975016798   169.924440549
      0.155   1     1.000000000    16.549631876   173.103375816
      0.160   1     1.000000000    16.140913239   176.253914603
      0.165   1     1.000000000    15.749662717   179.376148628
      0.170   1     1.000000000    15.376514028   182.470235957
      0.175   1     1.000000000    15.021950227   185.536393460
      0.180   1     1.000000000    14.686318598   188.574888816
      0.185   1     1.000000000    14.369840651   191.586032071
      0.190   1     1.000000000    14.072618062   194.570166794
      0.195   1     1.000000000    13.794640825   197.527660890
      0.200   1     1.000000000    13.535803819   200.458897138
      0.205   1     1.000000000    13.295924024   203.364263545
      0.210   1     1.000000000    13.074739043   206.244143631
      0.215   1     1.000000000    12.871883300   209.098906765
      0.220   1     1.000000000    12.686859354   211.928898709
      0.225   1     1.000000000    12.519024686   214.734432526
      0.230   1     1.000000000    12.367609230   217.515780014
      0.235   1     1.000000000    12.231764492   220.273163807
      0.240   1     1.000000000    12.110626823   223.006750275
      0.245   1     1.000000000    12.003373500   225.716643325
      0.250   1     1.000000000    11.909260351   228.402879185
      0.255   1     1.000000000    11.827640772   231.065422200
      0.260   1     1.000000000    11.757970798   233.704161680
      0.265   1     1.000000000    11.699803965   236.318909792
      0.270   1     1.000000000    11.652776897   238.909400481
      0.275   1     1.000000000    11.616585995   241.475289406
      0.280   1     1.000000000    11.590958372   244.016154836
      0.285   1     1.000000000    11.575623788   246.531499490
      0.290   1     1.000000000    11.570294725   249.020753258
      0.295   1     1.000000000    11.574658069   251.483276781
      0.300   1     1.000000000    11.588376641   253.918365835
      0.305   1     1.000000000    11.611096075   256.325256501
      0.310   1     1.000000000    11.642453937   258.703131090
      0.315   1     1.000000000    11.682092029   261.051124800
      0.320   1     1.000000000    11.729675893   263.368333093
      0.325   1     1.000000000    11.784925147   265.653819782
      0.330   1     1.000000000    11.847654492   267.906625824
      0.335   1     1.000000000    11.917820020   270.125778807
      0.340   1     1.000000000    11.995561454   272.310303126
      0.345   1     1.000000000    12.081229442   274.459230839
      0.350   1     1.000000000    12.175388425   276.571613167
      0.355   1     1.000000000    12.278788940   278.646532626
      0.360   1     1.000000000    12.392308026   280.683115711
      0.365   1     1.000000000    12.516861386   282.680546100
      0.370   1     1.000000000    12.653295785   284.638078278
      0.375   1     1.000000000    12.802272455   286.555051492
      0.380   1     1.000000000    12.964151013   288.430903900
      0.385   1     1.000000000    13.138881208   290.265186792
      0.390   1     1.000000000    13.325925730   292.057578676
      0.395   1     1.000000000    13.524249193   293.807899045
      0.400   1     1.000000000    13.732356626   295.516121569
      0.405   1     1.000000000    13.948322196   297.182386437
      0.410   1     1.000000000    14.169789252   298.807011523
      0.415   1     1.000000000    14.393969539   300.390502068
      0.420   1     1.000000000    14.617669354   301.933558519
      0.425   1     1.000000000    14.837348683   303.437082217
      0.430   1     1.000000000    15.049203181   304.902178622
      0.435   1     1.000000000    15.249262238   306.330157777
      0.440   1     1.000000000    15.433515687   307.722531787
      0.445   1     1.000000000    15.598094723   309.081009116
      0.450   1     1.000000000    15.739518548   310.407485553
      0.455   1     1.000000000    15.854983957   311.704031814
      0.460   1     1.000000000    15.942657015   312.972877713
      0.465   1     1.000000000    16.001929695   314.216392997
      0.470   1     1.000000000    16.033600376   315.437064886
      0.475   1     1.000000000    16.039929187   316.637472519
      0.480   1     1.000000000    16.024534974   317.820258481
      0.485   1     1.000000000    15.992139361   318.988097714
      0.490   1     1.000000000    15.948197747   320.143664182
      0.495   1     1.000000000    15.898468813   321.289595754
      0.500   1     1.000000000    15.848568419   322.428457895
